NAME,Year,Type,Subject,es1,class,percent_total,fs_class_min_out,fs_class_max_out,fs_class_min_in,fs_class_max_in,per,corr_type,
Denmark,1999-2000,Agricultural area ,Total area,DNK,a,NA,0,1,0,2,0,wca_dist,
Denmark,1999-2000,Agricultural area ,Total area,DNK,b,0.109075877,1,2,0,2,100,wca_dist,
Denmark,1999-2000,Agricultural area ,Total area,DNK,c,0.185845842,2,5,2,4,100,wca_dist,
Denmark,1999-2000,Agricultural area ,Total area,DNK,d,2.778655866,5,10,5,9,100,wca_dist,
Denmark,1999-2000,Agricultural area ,Total area,DNK,e,6.438950509,10,20,10,19,100,wca_dist,
Denmark,1999-2000,Agricultural area ,Total area,DNK,f,20.82446079,20,50,20,29,100,wca_dist,
Denmark,1999-2000,Agricultural area ,Total area,DNK,f,20.82446079,20,50,30,49,100,wca_dist,
Denmark,1999-2000,Agricultural area ,Total area,DNK,g,29.66412272,50,100,50,99,100,wca_dist,
Denmark,1999-2000,Agricultural area ,Total area,DNK,h,39.9988884,100,200,100,NA,100,wca_dist,
Denmark,1999-2000,Agricultural area ,Total area,DNK,i,NA,200,500,100,NA,0,wca_dist,
Denmark,1999-2000,Agricultural area ,Total area,DNK,j,NA,500,1000,100,NA,0,wca_dist,
Denmark,1999-2000,Agricultural area ,Total area,DNK,k,NA,1000,,100,NA,0,wca_dist,
Estonia,2001,Agricultural area ,Agricultural area ,EST,a,0.535967728,0,1,0,2,19.3,wca_dist,
Estonia,2001,Agricultural area ,Agricultural area ,EST,b,2.241496051,1,2,0,2,80.7,wca_dist,
Estonia,2001,Agricultural area ,Agricultural area ,EST,c,6.01256681,2,5,2,4,100,wca_dist,
Estonia,2001,Agricultural area ,Agricultural area ,EST,d,8.71843882,5,10,5,9,100,wca_dist,
Estonia,2001,Agricultural area ,Agricultural area ,EST,e,12.31035888,10,20,10,19,100,wca_dist,
Estonia,2001,Agricultural area ,Agricultural area ,EST,f,14.35843156,20,50,20,29,100,wca_dist,
Estonia,2001,Agricultural area ,Agricultural area ,EST,f,14.35843156,20,50,30,49,100,wca_dist,
Estonia,2001,Agricultural area ,Agricultural area ,EST,g,7.575482502,50,100,50,99,100,wca_dist,
Estonia,2001,Agricultural area ,Agricultural area ,EST,h,48.24725765,100,200,100,NA,100,wca_dist,
Estonia,2001,Agricultural area ,Agricultural area ,EST,i,NA,200,500,100,NA,0,wca_dist,
Estonia,2001,Agricultural area ,Agricultural area ,EST,j,NA,500,1000,100,NA,0,wca_dist,
Estonia,2001,Agricultural area ,Agricultural area ,EST,k,NA,1000,,100,NA,0,wca_dist,
Finland,1999-2000,Agricultural area ,Total area,FIN,a,NA,0,1,0,2,0,wca_dist,
Finland,1999-2000,Agricultural area ,Total area,FIN,b,1.070661986,1,2,0,2,100,wca_dist,
Finland,1999-2000,Agricultural area ,Total area,FIN,c,2.873568117,2,5,2,4,100,wca_dist,
Finland,1999-2000,Agricultural area ,Total area,FIN,d,7.094158584,5,10,5,9,100,wca_dist,
Finland,1999-2000,Agricultural area ,Total area,FIN,e,18.63395124,10,20,10,19,100,wca_dist,
Finland,1999-2000,Agricultural area ,Total area,FIN,f,42.62564508,20,50,20,29,100,wca_dist,
Finland,1999-2000,Agricultural area ,Total area,FIN,f,42.62564508,20,50,30,49,100,wca_dist,
Finland,1999-2000,Agricultural area ,Total area,FIN,g,20.40378278,50,100,50,99,100,wca_dist,
Finland,1999-2000,Agricultural area ,Total area,FIN,h,7.298232214,100,200,100,NA,100,wca_dist,
Finland,1999-2000,Agricultural area ,Total area,FIN,i,NA,200,500,100,NA,0,wca_dist,
Finland,1999-2000,Agricultural area ,Total area,FIN,j,NA,500,1000,100,NA,0,wca_dist,
Finland,1999-2000,Agricultural area ,Total area,FIN,k,NA,1000,,100,NA,0,wca_dist,
France,1999-2000,Agricultural area ,Total area,FRA,a,NA,0,1,0,2,0,wca_dist,
France,1999-2000,Agricultural area ,Total area,FRA,b,0.709085357,1,2,0,2,100,wca_dist,
France,1999-2000,Agricultural area ,Total area,FRA,c,1.321574557,2,5,2,4,100,wca_dist,
France,1999-2000,Agricultural area ,Total area,FRA,d,1.889076975,5,10,5,9,100,wca_dist,
France,1999-2000,Agricultural area ,Total area,FRA,e,4.18276742,10,20,10,19,100,wca_dist,
France,1999-2000,Agricultural area ,Total area,FRA,f,17.31563028,20,50,20,29,100,wca_dist,
France,1999-2000,Agricultural area ,Total area,FRA,f,17.31563028,20,50,30,49,100,wca_dist,
France,1999-2000,Agricultural area ,Total area,FRA,g,30.59863862,50,100,50,99,100,wca_dist,
France,1999-2000,Agricultural area ,Total area,FRA,h,43.98322679,100,200,100,NA,100,wca_dist,
France,1999-2000,Agricultural area ,Total area,FRA,i,NA,200,500,100,NA,0,wca_dist,
France,1999-2000,Agricultural area ,Total area,FRA,j,NA,500,1000,100,NA,0,wca_dist,
France,1999-2000,Agricultural area ,Total area,FRA,k,NA,1000,,100,NA,0,wca_dist,
United Kingdom,1999-2000,Agricultural area ,Total area,GBR,a,NA,0,1,0,2,0,wca_dist,
United Kingdom,1999-2000,Agricultural area ,Total area,GBR,b,0.283767243,1,2,0,2,100,wca_dist,
United Kingdom,1999-2000,Agricultural area ,Total area,GBR,c,0.522760977,2,5,2,4,100,wca_dist,
United Kingdom,1999-2000,Agricultural area ,Total area,GBR,d,1.250027983,5,10,5,9,100,wca_dist,
United Kingdom,1999-2000,Agricultural area ,Total area,GBR,e,2.852980131,10,20,10,19,100,wca_dist,
United Kingdom,1999-2000,Agricultural area ,Total area,GBR,f,10.05649328,20,50,20,29,100,wca_dist,
United Kingdom,1999-2000,Agricultural area ,Total area,GBR,f,10.05649328,20,50,30,49,100,wca_dist,
United Kingdom,1999-2000,Agricultural area ,Total area,GBR,g,16.40852318,50,100,50,99,100,wca_dist,
United Kingdom,1999-2000,Agricultural area ,Total area,GBR,h,68.62544721,100,200,100,NA,100,wca_dist,
United Kingdom,1999-2000,Agricultural area ,Total area,GBR,i,NA,200,500,100,NA,0,wca_dist,
United Kingdom,1999-2000,Agricultural area ,Total area,GBR,j,NA,500,1000,100,NA,0,wca_dist,
United Kingdom,1999-2000,Agricultural area ,Total area,GBR,k,NA,1000,,100,NA,0,wca_dist,
Greece,1999-2000,Agricultural area ,Total area,GRC,a,NA,0,1,0,2,0,wca_dist,
Greece,1999-2000,Agricultural area ,Total area,GRC,b,11.406954,1,2,0,2,100,wca_dist,
Greece,1999-2000,Agricultural area ,Total area,GRC,c,20.57659257,2,5,2,4,100,wca_dist,
Greece,1999-2000,Agricultural area ,Total area,GRC,d,20.41195506,5,10,5,9,100,wca_dist,
Greece,1999-2000,Agricultural area ,Total area,GRC,e,19.09227442,10,20,10,19,100,wca_dist,
Greece,1999-2000,Agricultural area ,Total area,GRC,f,18.26960296,20,50,20,29,100,wca_dist,
Greece,1999-2000,Agricultural area ,Total area,GRC,f,18.26960296,20,50,30,49,100,wca_dist,
Greece,1999-2000,Agricultural area ,Total area,GRC,g,5.824761688,50,100,50,99,100,wca_dist,
Greece,1999-2000,Agricultural area ,Total area,GRC,h,4.417859299,100,200,100,NA,100,wca_dist,
Greece,1999-2000,Agricultural area ,Total area,GRC,i,NA,200,500,100,NA,0,wca_dist,
Greece,1999-2000,Agricultural area ,Total area,GRC,j,NA,500,1000,100,NA,0,wca_dist,
Greece,1999-2000,Agricultural area ,Total area,GRC,k,NA,1000,,100,NA,0,wca_dist,
Ireland,2000,Agricultural area ,Total area,IRL,a,NA,0,1,0,2,0,wca_dist,
Ireland,2000,Agricultural area ,Total area,IRL,b,0.110499112,1,2,0,2,100,wca_dist,
Ireland,2000,Agricultural area ,Total area,IRL,c,0.792369835,2,5,2,4,100,wca_dist,
Ireland,2000,Agricultural area ,Total area,IRL,d,3.004897168,5,10,5,9,100,wca_dist,
Ireland,2000,Agricultural area ,Total area,IRL,e,11.51693436,10,20,10,19,100,wca_dist,
Ireland,2000,Agricultural area ,Total area,IRL,f,39.55147117,20,50,20,29,100,wca_dist,
Ireland,2000,Agricultural area ,Total area,IRL,f,39.55147117,20,50,30,49,100,wca_dist,
Ireland,2000,Agricultural area ,Total area,IRL,g,28.987247,50,100,50,99,100,wca_dist,
Ireland,2000,Agricultural area ,Total area,IRL,h,16.03658136,100,200,100,NA,100,wca_dist,
Ireland,2000,Agricultural area ,Total area,IRL,i,NA,200,500,100,NA,0,wca_dist,
Ireland,2000,Agricultural area ,Total area,IRL,j,NA,500,1000,100,NA,0,wca_dist,
Ireland,2000,Agricultural area ,Total area,IRL,k,NA,1000,,100,NA,0,wca_dist,
Italy,2000,Total area,Total area,ITA,a,2.411010015,0,1,0,2,40.4,wca_dist,
Italy,2000,Total area,Total area,ITA,b,3.554626708,1,2,0,2,59.6,wca_dist,
Italy,2000,Total area,Total area,ITA,c,8.541255527,2,5,2,4,100,wca_dist,
Italy,2000,Total area,Total area,ITA,d,9.34043056,5,10,5,9,100,wca_dist,
Italy,2000,Total area,Total area,ITA,e,11.22516677,10,20,10,19,100,wca_dist,
Italy,2000,Total area,Total area,ITA,f,16.09249693,20,50,20,29,100,wca_dist,
Italy,2000,Total area,Total area,ITA,f,16.09249693,20,50,30,49,100,wca_dist,
Italy,2000,Total area,Total area,ITA,g,10.89757615,50,100,50,99,100,wca_dist,
Italy,2000,Total area,Total area,ITA,h,37.93743734,100,200,100,NA,100,wca_dist,
Italy,2000,Total area,Total area,ITA,i,NA,200,500,100,NA,0,wca_dist,
Italy,2000,Total area,Total area,ITA,j,NA,500,1000,100,NA,0,wca_dist,
Italy,2000,Total area,Total area,ITA,k,NA,1000,,100,NA,0,wca_dist,
Luxembourg,1999-2000,Agricultural area ,Total area,LUX,a,NA,0,1,0,2,0,wca_dist,
