NAME,Year,Type,Subject,es1,class,percent_total,fs_class_min_out,fs_class_max_out,fs_class_min_in,fs_class_max_in,per,corr_type,
croatia,,,,HRV,e,,10,20,10,19,100,class_size,
croatia,,,,HRV,f,,20,50,20,29,100,class_size,
croatia,,,,HRV,f,,20,50,30,49,100,class_size,
croatia,,,,HRV,g,,50,100,50,99,100,class_size,
croatia,,,,HRV,h,,100,200,100,NA,100,class_size,
croatia,,,,HRV,i,,200,500,100,NA,,class_size,
croatia,,,,HRV,j,,500,1000,100,NA,,class_size,
croatia,,,,HRV,k,,1000,,100,NA,,class_size,
Cyprus,,,,CYP,a,,0,1,0,2,50,class_size,
Cyprus,,,,CYP,b,,1,2,0,2,50,class_size,
Cyprus,,,,CYP,c,,2,5,2,4,100,class_size,
Cyprus,,,,CYP,d,,5,10,5,9,100,class_size,
Cyprus,,,,CYP,e,,10,20,10,19,100,class_size,
Cyprus,,,,CYP,f,,20,50,20,29,100,class_size,
Cyprus,,,,CYP,f,,20,50,30,49,100,class_size,
Cyprus,,,,CYP,g,,50,100,50,99,100,class_size,
Cyprus,,,,CYP,h,,100,200,100,NA,100,class_size,
Cyprus,,,,CYP,i,,200,500,100,NA,,class_size,
Cyprus,,,,CYP,j,,500,1000,100,NA,,class_size,
Cyprus,,,,CYP,k,,1000,,100,NA,,class_size,
Iceland,,,,ISL,a,,0,1,0,2,50,class_size,
Iceland,,,,ISL,b,,1,2,0,2,50,class_size,
Iceland,,,,ISL,c,,2,5,2,4,100,class_size,
Iceland,,,,ISL,d,,5,10,5,9,100,class_size,
Iceland,,,,ISL,e,,10,20,10,19,100,class_size,
Iceland,,,,ISL,f,,20,50,20,29,100,class_size,
Iceland,,,,ISL,f,,20,50,30,49,100,class_size,
Iceland,,,,ISL,g,,50,100,50,99,100,class_size,
Iceland,,,,ISL,h,,100,200,100,NA,100,class_size,
Iceland,,,,ISL,i,,200,500,100,NA,,class_size,
Iceland,,,,ISL,j,,500,1000,100,NA,,class_size,
Iceland,,,,ISL,k,,1000,,100,NA,,class_size,
Montenegro,,,,MNE,a,,0,1,0,2,50,class_size,
Montenegro,,,,MNE,b,,1,2,0,2,50,class_size,
Montenegro,,,,MNE,c,,2,5,2,4,100,class_size,
Montenegro,,,,MNE,d,,5,10,5,9,100,class_size,
Montenegro,,,,MNE,e,,10,20,10,19,100,class_size,
Montenegro,,,,MNE,f,,20,50,20,29,100,class_size,
Montenegro,,,,MNE,f,,20,50,30,49,100,class_size,
Montenegro,,,,MNE,g,,50,100,50,99,100,class_size,
Montenegro,,,,MNE,h,,100,200,100,NA,100,class_size,
Montenegro,,,,MNE,i,,200,500,100,NA,,class_size,
Montenegro,,,,MNE,j,,500,1000,100,NA,,class_size,
Montenegro,,,,MNE,k,,1000,,100,NA,,class_size,
Slovenia,,,,SVN,a,,0,1,0,2,50,class_size,
Slovenia,,,,SVN,b,,1,2,0,2,50,class_size,
Slovenia,,,,SVN,c,,2,5,2,4,100,class_size,
Slovenia,,,,SVN,d,,5,10,5,9,100,class_size,
Slovenia,,,,SVN,e,,10,20,10,19,100,class_size,
Slovenia,,,,SVN,f,,20,50,20,29,100,class_size,
Slovenia,,,,SVN,f,,20,50,30,49,100,class_size,
Slovenia,,,,SVN,g,,50,100,50,99,100,class_size,
Slovenia,,,,SVN,h,,100,200,100,NA,100,class_size,
Slovenia,,,,SVN,i,,200,500,100,NA,,class_size,
Slovenia,,,,SVN,j,,500,1000,100,NA,,class_size,
Slovenia,,,,SVN,k,,1000,,100,NA,,class_size,
Switzerland,,,,CHE,a,,0,1,0,2,50,class_size,
Switzerland,,,,CHE,b,,1,2,0,2,50,class_size,
Switzerland,,,,CHE,c,,2,5,2,4,100,class_size,
Switzerland,,,,CHE,d,,5,10,5,9,100,class_size,
Switzerland,,,,CHE,e,,10,20,10,19,100,class_size,
Switzerland,,,,CHE,f,,20,50,20,29,100,class_size,
Switzerland,,,,CHE,f,,20,50,30,49,100,class_size,
Switzerland,,,,CHE,g,,50,100,50,99,100,class_size,
Switzerland,,,,CHE,h,,100,200,100,NA,100,class_size,
Switzerland,,,,CHE,i,,200,500,100,NA,,class_size,
Switzerland,,,,CHE,j,,500,1000,100,NA,,class_size,
Switzerland,,,,CHE,k,,1000,,100,NA,,class_size,
Lithuania,2003,Total area,Total area,LTU,a,0.003402402,0,1,0,2,0,wca_dist,
Lithuania,2003,Total area,Total area,LTU,b,1.088768671,1,2,0,2,100,wca_dist,
Lithuania,2003,Total area,Total area,LTU,c,13.87159334,2,5,2,4,100,wca_dist,
Lithuania,2003,Total area,Total area,LTU,d,15.0964581,5,10,5,9,100,wca_dist,
Lithuania,2003,Total area,Total area,LTU,e,17.71630771,10,20,10,19,100,wca_dist,
Lithuania,2003,Total area,Total area,LTU,f,17.16852098,20,50,20,29,100,wca_dist,
Lithuania,2003,Total area,Total area,LTU,f,17.16852098,20,50,30,49,100,wca_dist,
Lithuania,2003,Total area,Total area,LTU,g,8.301861114,50,100,50,99,100,wca_dist,
Lithuania,2003,Total area,Total area,LTU,h,6.23320064,100,200,100,NA,23,wca_dist,
Lithuania,2003,Total area,Total area,LTU,i,6.202579021,200,500,100,NA,23,wca_dist,
Lithuania,2003,Total area,Total area,LTU,j,14.31730802,500,1000,100,NA,54,wca_dist,
Lithuania,2003,Total area,Total area,LTU,k,,1000,,100,NA,0,wca_dist,
Spain,,,,ESP,a,,0,1,0,2,50,class_size,
Spain,,,,ESP,b,,1,2,0,2,50,class_size,
Spain,,,,ESP,c,,2,5,2,4,100,class_size,
Spain,,,,ESP,d,,5,10,5,9,100,class_size,
Spain,,,,ESP,e,,10,20,10,19,100,class_size,
Spain,,,,ESP,f,,20,50,20,29,100,class_size,
Spain,,,,ESP,f,,20,50,30,49,100,class_size,
Spain,,,,ESP,g,,50,100,50,99,100,class_size,
Spain,,,,ESP,h,,100,200,100,NA,100,class_size,
Spain,,,,ESP,i,,200,500,100,NA,,class_size,
Spain,,,,ESP,j,,500,1000,100,NA,,class_size,
Spain,,,,ESP,k,,1000,,100,NA,,class_size,
Slovakia,,,,SVK,a,,0,1,0,2,50,class_size,
Slovakia,,,,SVK,b,,1,2,0,2,50,class_size,
Slovakia,,,,SVK,c,,2,5,2,4,100,class_size,
Slovakia,,,,SVK,d,,5,10,5,9,100,class_size,
Slovakia,,,,SVK,e,,10,20,10,19,100,class_size,
Slovakia,,,,SVK,f,,20,50,20,29,100,class_size,
Slovakia,,,,SVK,f,,20,50,30,49,100,class_size,
Slovakia,,,,SVK,g,,50,100,50,99,100,class_size,
Slovakia,,,,SVK,h,,100,200,100,NA,100,class_size,
Slovakia,,,,SVK,i,,200,500,100,NA,,class_size,
Slovakia,,,,SVK,j,,500,1000,100,NA,,class_size,
Slovakia,,,,SVK,k,,1000,,100,NA,,class_size,
Brazil,1996,Total area,Total area,BRA,a,0.079453355,0,1,0,0.1,100,wca_dist,
Brazil,1996,Total area,Total area,BRA,a,0.079453355,0,1,0.1,0.2,100,wca_dist,
Brazil,1996,Total area,Total area,BRA,a,0.079453355,0,1,0.2,0.5,100,wca_dist,
Brazil,1996,Total area,Total area,BRA,a,0.079453355,0,1,0.5,1,100,wca_dist,
Brazil,1996,Total area,Total area,BRA,b,0.18019393,1,2,1,2,100,wca_dist,
Brazil,1996,Total area,Total area,BRA,c,0.71930037,2,5,2,3,100,wca_dist,
Brazil,1996,Total area,Total area,BRA,c,0.71930037,2,5,3,4,100,wca_dist,
Brazil,1996,Total area,Total area,BRA,c,0.71930037,2,5,4,5,100,wca_dist,
Brazil,1996,Total area,Total area,BRA,d,1.250108997,5,10,5,10,100,wca_dist,
Brazil,1996,Total area,Total area,BRA,e,2.771179964,10,20,10,20,100,wca_dist,
Brazil,1996,Total area,Total area,BRA,f,7.193953611,20,50,20,50,100,wca_dist,
Brazil,1996,Total area,Total area,BRA,g,7.764389088,50,100,50,100,100,wca_dist,
Brazil,1996,Total area,Total area,BRA,h,9.309429599,100,200,100,200,100,wca_dist,
Brazil,1996,Total area,Total area,BRA,i,14.26312952,200,500,200,500,100,wca_dist,
Brazil,1996,Total area,Total area,BRA,j,11.36454156,500,1000,500,1000,100,wca_dist,
Brazil,1996,Total area,Total area,BRA,k,45.10432001,1000,,1000,2500,100,wca_dist,
Brazil,1996,Total area,Total area,BRA,k,45.10432001,1000,,2500,NA,100,wca_dist,
Ethiopia ,2001-2002,Total area,Total area,ETH,a,27.09855639,0,1,NA,0.1,100,wca_dist,
Ethiopia ,2001-2002,Total area,Total area,ETH,a,27.09855639,0,1,0.1,0.5,100,wca_dist,
Ethiopia ,2001-2002,Total area,Total area,ETH,a,27.09855639,0,1,0.51,1,100,wca_dist,
Ethiopia ,2001-2002,Total area,Total area,ETH,b,33.33813694,1,2,1.01,2,100,wca_dist,
Ethiopia ,2001-2002,Total area,Total area,ETH,c,32.63722036,2,5,2.01,5,100,wca_dist,
Ethiopia ,2001-2002,Total area,Total area,ETH,d,5.540474375,5,10,5.01,10,100,wca_dist,
Ethiopia ,2001-2002,Total area,Total area,ETH,e,NA,10,20,10,NA,20,microdata,
Ethiopia ,2001-2002,Total area,Total area,ETH,f,NA,20,50,10,NA,10,microdata,
Ethiopia ,2001-2002,Total area,Total area,ETH,g,NA,50,100,10,NA,0,microdata,
Ethiopia ,2001-2002,Total area,Total area,ETH,h,NA,100,200,10,NA,0,microdata,
Ethiopia ,2001-2002,Total area,Total area,ETH,i,NA,200,500,10,NA,70,microdata,
Ethiopia ,2001-2002,Total area,Total area,ETH,j,NA,500,1000,10,NA,0,microdata,
Ethiopia ,2001-2002,Total area,Total area,ETH,k,NA,1000,,10,NA,0,microdata,
India,2001,Total area,Total area,IND,a,18.69957464,0,1,0,0.5,100,wca_dist,
India,2001,Total area,Total area,IND,a,18.69957464,0,1,0.5,1,100,wca_dist,
India,2001,Total area,Total area,IND,b,20.15696952,1,2,1,2,100,wca_dist,
India,2001,Total area,Total area,IND,c,31.23580561,2,5,2,3,100,wca_dist,
India,2001,Total area,Total area,IND,c,31.23580561,2,5,3,4,100,wca_dist,
India,2001,Total area,Total area,IND,c,31.23580561,2,5,4,5,100,wca_dist,
India,2001,Total area,Total area,IND,d,16.67503168,5,10,5,7.5,100,wca_dist,
India,2001,Total area,Total area,IND,d,16.67503168,5,10,7.5,10,100,wca_dist,
India,2001,Total area,Total area,IND,e,8.293913196,10,20,10,20,100,wca_dist,
India,2001,Total area,Total area,IND,f,4.938705346,20,50,20,NA,90,microdata,
India,2001,Total area,Total area,IND,g,NA,50,100,20,NA,10,microdata,
India,2001,Total area,Total area,IND,h,NA,100,200,20,NA,0,microdata,
India,2001,Total area,Total area,IND,i,NA,200,500,20,NA,0,microdata,
India,2001,Total area,Total area,IND,j,NA,500,1000,20,NA,0,microdata,
India,2001,Total area,Total area,IND,k,NA,1000,,20,NA,0,microdata,
Paraguay,,,,PRY,a,NA,0,1,0,1,100,class_size,
Paraguay,,,,PRY,b,NA,1,2,1,5,25,class_size,
Paraguay,,,,PRY,c,NA,2,5,1,5,75,class_size,
Paraguay,,,,PRY,d,NA,5,10,5,10,100,class_size,
Paraguay,,,,PRY,e,NA,10,20,10,20,100,class_size,
Paraguay,,,,PRY,f,NA,20,50,20,50,100,class_size,
Paraguay,,,,PRY,g,NA,50,100,50,100,100,class_size,
Paraguay,,,,PRY,h,NA,100,200,100,200,100,class_size,
Paraguay,,,,PRY,i,NA,200,500,200,500,100,class_size,
Paraguay,,,,PRY,j,NA,500,1000,500,1000,100,class_size,
Paraguay,,,,PRY,k,NA,1000,,1000,5000,100,class_size,
Paraguay,,,,PRY,k,NA,1000,,5000,10000,100,class_size,
Paraguay,,,,PRY,k,NA,1000,,10000,NA,100,class_size,
United States of America,2002,Total area,Total area,USA,a,NA,0,1,0.404685,4.0063815,0,wca_dist,
United States of America,2002,Total area,Total area,USA,b,NA,1,2,0.404685,4.0063815,0,wca_dist,
United States of America,2002,Total area,Total area,USA,c,0.142326233,2,5,0.404685,4.0063815,100,wca_dist,
United States of America,2002,Total area,Total area,USA,c,0.142326233,2,5,4.04685,20.1937815,6,class_size,
United States of America,2002,Total area,Total area,USA,d,0.38104759,5,10,4.04685,20.1937815,31,class_size,
United States of America,2002,Total area,Total area,USA,e,1.110031109,10,20,4.04685,20.1937815,63,class_size,
United States of America,2002,Total area,Total area,USA,f,3.918507996,20,50,20.23425,28.2874815,100,class_size,
United States of America,2002,Total area,Total area,USA,f,3.918507996,20,50,28.32795,40.4280315,100,class_size,
United States of America,2002,Total area,Total area,USA,f,3.918507996,20,50,40.4685,56.251215,60,class_size,
United States of America,2002,Total area,Total area,USA,g,6.374440727,50,100,40.4685,56.251215,40,class_size,
United States of America,2002,Total area,Total area,USA,g,6.374440727,50,100,56.6559,72.438615,100,class_size,
United States of America,2002,Total area,Total area,USA,g,6.374440727,50,100,72.8433,88.626015,100,class_size,
United States of America,2002,Total area,Total area,USA,g,6.374440727,50,100,89.0307,104.813415,70,class_size,
United States of America,2002,Total area,Total area,USA,h,9.034152031,100,200,89.0307,104.813415,30,class_size,
United States of America,2002,Total area,Total area,USA,h,9.034152031,100,200,105.2181,201.937815,98,class_size,
United States of America,2002,Total area,Total area,USA,i,16.41452054,200,500,105.2181,201.937815,2,class_size,
United States of America,2002,Total area,Total area,USA,i,16.41452054,200,500,202.3425,404.280315,100,class_size,
United States of America,2002,Total area,Total area,USA,i,16.41452054,200,500,404.685,808.965315,24,class_size,
United States of America,2002,Total area,Total area,USA,j,62.62497378,500,1000,404.685,808.965315,76,class_size,
United States of America,2002,Total area,Total area,USA,j,62.62497378,500,1000,809.37,NA,100,wca_dist,
United States of America,2002,Total area,Total area,USA,k,0,1000,,NA,NA,0,wca_dist,
South Africa,,,,ZAF,a,NA,0,1,0,0.5,100,class_size,
South Africa,,,,ZAF,b,NA,1,2,0.5,1,100,class_size,
South Africa,,,,ZAF,c,NA,2,5,1,5,25,class_size,
South Africa,,,,ZAF,d,NA,5,10,1,5,75,class_size,
South Africa,,,,ZAF,e,NA,10,20,6,10,100,class_size,
South Africa,,,,ZAF,f,NA,20,50,11,20,100,class_size,
South Africa,,,,ZAF,g,NA,50,100,,,,,
South Africa,,,,ZAF,h,NA,100,200,,,,,
South Africa,,,,ZAF,i,NA,200,500,,,,,
South Africa,,,,ZAF,j,NA,500,1000,,,,,
South Africa,,,,ZAF,k,NA,1000,,,,,,
South Africa,,,,ZAF,,NA,,,,,,,
